Ticker,Name,Exchange,categoryName,categoryNr
FRI.AX,Finbar Group Limited,ASX,Real Estate Development,449
719880.TWO,YUANTA SECURITIES C/W 15/03/16(,TWO,None,0
719691.TWO,YUANTA SECURITIES C/W 07/03/16(,TWO,None,0
1052-OL.HK,YUEXIUTRANSPORT,HKG,None,0
NVMI.TA,Nova Measuring Instruments Ltd.,TLV,None,0
QSC.BE,QSC N,BER,Wireless Communications,840
IZO.SG,JD GROUP,STU,None,0
NSRPF,Novo Resources Corp.,PNK,None,0
S63.SI,Singapore Technologies Engineering Ltd,SES,Aerospace/Defense - Major Diversified,610
KIRLFER.BO,Kirloskar Ferrous Industries Limited,BSE,Metal Fabrication,626
GZL-O.CR,GPO. ZULIANO,CCS,None,0
RYGYO.IS,Reysas Gayrimenkul Yatirim Ortakligi A.S.,IST,None,0
717217.TWO,YUANTA SECURITIES C/W 03/08/15(,TWO,None,0
WSON11.SA,None,None,None,0
AMZN.MX,"Amazon.com, Inc.",MEX,"Specialty Retail, Other",745
ARPNF,ASTRO JAPAN PROPERTY,PNK,None,0
MBFIP,MB Financial Inc.,NMS,None,0
SPRP.L,Sprue Aegis PLC,LSE,Security & Protection Services,765
91A.F,ARMSTRONG WORLD IND,FRA,General Building Materials,634
JUVF.OB,None,OBB,None,0
BCYP,"Blue Calypso, Inc.",OBB,Marketing Services,721
ONTEX.BR,Ontex Group N.V.,BRU,Personal Products,323
DYU-H.V,Dawson Gold Corp.,VAN,Industrial Metals & Minerals,133
NBG-PA,National Bank of Greece SA Spon,NYQ,None,0
E8X.DE,elexxion AG,GER,Medical Appliances & Equipment,521
CHSTY,"China High Speed Transmission Equipment Group Co., Ltd.",PNK,None,0
JML.V,JAG Mines Ltd.,VAN,Conglomerates,210
1280.HK,"Huiyin Smart Community Co., Ltd.",HKG,"Specialty Retail, Other",745
VNTV,"Vantiv, Inc.",NYQ,Business Services,760
FNMSF,FNM SPA,PNK,None,0
YTMSG1.AX,THETAASSET ACBCSGP20,ASX,None,0
ASUZU.IS,Anadolu Isuzu Otomotiv Sanayi ve Ticaret AS,IST,None,0
VESTF,"Vestiage, Inc.",PNK,None,0
XONA.MU,EXXON MOBIL,MUN,Major Integrated Oil & Gas,120
VNTH,"Nano Mobile Healthcare, Inc.",PNK,Conglomerates,210
VNTI,"Vantone International Group, Inc.",PNK,None,0
BNRPF,Bionor Pharma ASA,PNK,None,0
NAMN.TA,Naaman Group (N.V.) Ltd,TLV,None,0
ZYDUSWELL.BO,Zydus Wellness Limited,BSE,Personal Products,323
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",NGM,"Discount, Variety Stores",732
51FL.L,S.C. Electrica S.A.,LSE,None,0
FLYLF,FLYHT Aerospace Solutions Ltd.,PNK,None,0
XBTCQ,Xhibit Corp.,PNK,None,0
3966.HK,MASTERCRAFT I,HKG,None,0
FJP,First Trust Japan AlphaDEX ETF,NGM,None,0
YAK.V,Mongolia Growth Group Ltd.,VAN,Property Management,448
BRRAF,Barloworld Ltd.,PNK,None,0
ARTT,"Artemis Energy Holdings, Inc.",PNK,None,0
ARTW,Art's-Way Manufacturing Co. Inc.,NCM,Farm & Construction Machinery,620
KTOS,"Kratos Defense & Security Solutions, Inc.",NMS,Security & Protection Services,765
ARTX,Arotech Corporation,NGM,Industrial Electrical Equipment,627
CFSU,Complete Financial Solutions Inc.,PNK,None,0
OPG.AX,OPUS Group Limited,ASX,Publishing - Newspapers,727
QIG.BE,SIG,BER,Industrial Equipment Wholesale,752
BRRAY,Barloworld Ltd.,PNK,None,0
GPKUF,Grand Peak Capital Corp.,PNK,None,0
TDCH,"30DC, Inc.",PNK,None,0
SEFA.TA,Shefa Yamim Ltd.,TLV,None,0
LOUIF,LOUIS XIII,PNK,None,0
NISOF,NIPRO CORPORATION,PNK,None,0
RLI,RLI Corp.,NYQ,Property & Casualty Insurance,432
RLH,Red Lion Hotels Corporation,NYQ,Lodging,710
RLJ,RLJ Lodging Trust,NYQ,REIT - Hotel/Motel,443
RLD,RealD Inc.,NYQ,"Movie Production, Theaters",726
EYE-A.V,"Eyelogic Systems, Inc.",VAN,Computers Wholesale,755
SPG,Simon Property Group Inc.,NYQ,REIT - Retail,446
XAG.V,Xtierra Inc.,VAN,Industrial Metals & Minerals,133
720083.TWO,YUANTA SECURITIES C/W 28/03/16(,TWO,None,0
ABAC,"Aoxin Tianli Group, Inc.",NCM,Farm Products,341
9TO.F,TOYOTA TSUSHO,FRA,Steel & Iron,130
DGDCF,Dynasty Gold Corp.,PNK,None,0
XBTCE,None,OBB,None,0
COHG,Cheetah Oil & Gas Ltd.,PNK,None,0
XCY.F,OPKO HEALTH,FRA,None,0
ABAT,"Advanced Battery Technologies, Inc.",PNK,Industrial Electrical Equipment,627
COHR,Coherent Inc.,NMS,Scientific & Technical Instruments,837
ABAX,"Abaxis, Inc.",NMS,Medical Laboratories & Research,525
COHU,"Cohu, Inc.",NMS,Semiconductor Equipment & Materials,834
LF,LeapFrog Enterprises Inc.,NYQ,Multimedia & Graphics Software,820
LG,"The Laclede Group, Inc.",NYQ,Gas Utilities,912
LE,"Lands' End, Inc.",NCM,Catalog & Mail Order Houses,739
LB,"L Brands, Inc.",NYQ,Apparel Stores,730
LC,LendingClub Corporation,NYQ,None,0
J8D.F,DEHAIER MED SYS,FRA,Medical Appliances & Equipment,521
LL,"Lumber Liquidators Holdings, Inc.",NYQ,Home Improvement Stores,736
LM,Legg Mason Inc.,NYQ,Asset Management,422
LH,Laboratory Corp. of America Holdings,NYQ,Medical Laboratories & Research,525
MPLU3F.SA,MULTIPLUS   ON      NM,SAO,None,0
LRESF,ALX Uranium Corp.,PNK,None,0
LQ,La Quinta Holdings Inc.,NYQ,Resorts & Casinos,711
OCV1.F,TEARLAB,FRA,None,0
TCG.L,Thomas Cook Group plc,LSE,"Recreational Goods, Other",317
VZRTF,Vizrt Ltd.,PNK,None,0
NMOS.ME,BANK OTKRIT FIN,MCX,None,0
HEAT,SmartHeat Inc.,PNK,Industrial Equipment & Components,621
HEAR,Turtle Beach Corporation,NGM,Communication Equipment,841
KW2.SG,K. WAH INTL HLDGS,STU,Real Estate Development,449
CFO,Compass EMP Funds Trust - Compass EMP U.S. 500 Enhanced Volatility Weighted Fund,NGM,None,0
CFI,"Culp, Inc.",NYQ,Textile Industrial,628
CFG,"Citizens Financial Group, Inc.",NYQ,None,0
CFD,Nuveen Diversified Commodity Fund,ASE,None,0
4XN.BE,XUNLEI SP ADS-A,BER,None,0
CFA,Compass EMP Funds Trust - Compass EMP U.S. 500 Volatility Weighted Fund,NGM,None,0
CFX,Colfax Corporation,NYQ,Diversified Machinery,622
OGSA3F.SA,NOVA OLEO   ON,SAO,None,0
CFR,"Cullen/Frost Bankers, Inc.",NYQ,Regional - Southwest  Banks,415
CFP,Cornerstone Progressive Return Fund,ASE,None,0
WUYIF,WUYI INTL PHARMACEUT,PNK,None,0
0707.HK,Co-Prosperity Holdings Limited,HKG,Textile Industrial,628
ISL-UN.TO,VOYA FLOATING RATE SR LOAN FUND,TOR,None,0
PCFT.L,Polar Capital Global Financials Ord,LSE,None,0
LGBFORGE.NS,LGB Forge Ltd.,NSI,Industrial Equipment Wholesale,752
VO7.F,VOR RLT TR REIT-SBI,FRA,None,0
OAG.V,OREMEX SILVER INC,VAN,None,0
HGHAF,High Arctic Energy Services Inc,PNK,None,0
HYLS,First Trust Tactical High Yield ETF,NGM,None,0
UD2.SI,Japfa Ltd.,SES,Farm Products,341
VFL.A,None,ASE,None,0
MCBC,Macatawa Bank Corp.,NMS,Regional - Midwest Banks,414
RCBC,River City Bank,PNK,None,0
JNP,"Juniper Pharmaceuticals, Inc.",NMS,Drugs - Generic,512
6451.TWO,SHUNSIN TECHNOLOGY TWD10,TWO,None,0
AWM.DE,Skyworks Solutions Inc.,GER,Semiconductor - Broad Line,830
ORL.TO,Orocobre Limited,TOR,Copper,131
TRX.SG,TERREX Handels-Aktiengesellschaft,STU,None,0
038060.KQ,"Lumens Co., Ltd.",KOE,None,0
ORL.TA,Oil Refineries Ltd.,TLV,None,0
ZDLA,None,PNK,None,0
NBCC.BO,NATIONAL BUILDINGS CONSTRUCTIO,BSE,None,0
FRE.AX,Freshtel Holdings Limited,ASX,Wireless Communications,840
1083.HK,Towngas China Company Limited,HKG,Gas Utilities,912
SZ2.SG,SIGNET JEWELERS,STU,Jewelry Stores,742
UFMO.ME,UFA ENGINE IND,MCX,None,0
NCOM,National Commerce Corporation,NMS,Regional - Southeast Banks,413
PKBK,Parke Bancorp Inc.,NCM,Regional - Northeast Banks,411
OOA.L,Octopus AIM VCT PLC,LSE,Asset Management,422
YE5.MU,ENERGIZER RES,MUN,Industrial Metals & Minerals,133
JNOS.ME,JSC Slavneft-YANOS,MCX,None,0
W1D.SG,WILDHORSE,STU,None,0
YM2A.F,CODE AGRICUL,FRA,None,0
BLJZY,Berli Jucker Public Co. Ltd.,PNK,None,0
MQ.ST,MQ Holding AB,STO,Apparel Stores,730
THPFF,Thai President Foods Public Company Limited,PNK,None,0
5201.KL,OldTown Berhad,KLS,None,0
PZS.DE,Scherzer & Co. AG,GER,Conglomerates,210
PAYX,"Paychex, Inc.",NMS,Staffing & Outsourcing Services,764
XPD.AX,XPD Soccer Gear Group Limited,ASX,"Recreational Goods, Other",317
SLCT,"Select Bancorp, Inc.",NGM,Regional - Mid-Atlantic Banks,412
IWQ.MU,51 JOBS SP ADR,MUN,Staffing & Outsourcing Services,764
SLI.L,Standard Life Investments Property Income Trust Ltd.,LSE,REIT - Diversified,440
ZCILY,ZCI Limited,PNK,None,0
TRTLW,Terrapin 3 Acquisition Corporat,NCM,None,0
SLCA,"U.S. Silica Holdings, Inc.",NYQ,Industrial Metals & Minerals,133
TRTLU,Terrapin 3 Acquisition Corporat,NCM,None,0
FOG.L,Falcon Oil & Gas Ltd.,LSE,Independent Oil & Gas,121
SLCH,"Spotlight Capital Holdings, Inc.",PNK,None,0
PAYC,"Paycom Software, Inc.",NYQ,Application Software,821
YIPI,"Yippy, Inc.",PNK,None,0
SLCO,"Sovereign Lithium, Inc.",PNK,None,0
PTOO,"Raadr, Inc.",None,None,0
PTOI,"Plastic2Oil, Inc.",PNK,None,0
PTOG,"Petrotech Oil and Gas, Inc.",PNK,None,0
WRTKRT-A.A,None,None,None,0
ADRD,BLDRS Index Funds Trust - BLDRS Developed Markets 100 ADR Index Fund,NGM,None,0
WPC.SG,ZEAG ENERGIE,STU,None,0
LGCD.IL,LG CHEM SP GDR-144A,IOB,None,0
THYOF,Tethys Oil AB (publ),PNK,None,0
LAND,Gladstone Land Corporation,NGM,REIT - Diversified,440
LANC,Lancaster Colony Corporation,NMS,Food - Major Diversified,340
0538.HK,Ajisen China Holdings Ltd.,HKG,Restaurants,712
ULC.DE,UNITEDLABELS Aktiengesellschaft,GER,Apparel Stores,730
USA.AX,Uraniumsa Limited,ASX,Industrial Metals & Minerals,133
LANZ,"Lancer Orthodontics, Inc.",PNK,None,0
S3X.DU,SUMCO,DUS,Semiconductor Equipment & Materials,834
XTP.MU,SINO,MUN,None,0
TRARF,Teras Resources Inc.,PNK,None,0
SPAN,Span-America Medical Systems Inc.,NGM,Medical Appliances & Equipment,521
SOCB,Southcoast Financial Corp.,NGM,Regional - Southeast Banks,413
DNKN,"Dunkin' Brands Group, Inc.",NMS,Restaurants,712
SPAR,Spartan Motors Inc.,NMS,Trucks & Other Vehicles,331
0183.HK,WINFULL GP,HKG,None,0
4958.TW,Zhen Ding Technology Holding Limited,TAI,None,0
KESORAMIN.NS,Kesoram Industries Ltd.,NSI,Rubber & Plastics,322
PNC-PP,"PNC Financial Services Group, I",NYQ,None,0
HPR.F,HORIZON PHARMA,FRA,None,0
KBXMF,Kobex Capital Corp.,PNK,None,0
BIIB,Biogen Inc.,NMS,Biotechnology,515
KYX.BE,KERYX BIOPHARMACEU ,BER,Biotechnology,515
1718-OL.HK,WAN KEI GROUP,HKG,None,0
WAND.L,WANdisco plc,LSE,Technical & System Software,822
TOUMF,Toumaz Limited,PNK,None,0
ENGGY,"Enagás, S.A.",PNK,None,0
NRAGRINDQ.BO,NR Agarwal Industries Ltd,BSE,Paper & Paper Products,324
6839-OL.HK,YUNNAN WATER,HKG,None,0
721214.TWO,YUANTA SECURITIES C/W 18/04/16(,TWO,None,0
SRIVAJRA.BO,Sri Vajra Granites Limited,BSE,General Building Materials,634
SWDHF,Skyworth Digital Holdings Ltd.,PNK,None,0
VMPT,"VAMPT AMERICA, INC.",PNK,None,0
TRITONV.BO,Triton Valves Ltd,BSE,Auto Parts,333
QMCQF,QMC Quantum Minerals Corp,PNK,None,0
LOGG.OB,None,OBB,None,0
SRDX,"SurModics, Inc.",NMS,Diagnostic Substances,516
NG4.BE,NICHII GAKKAN,BER,Hospitals,524
SWDHY,Skyworth Digital Holdings Ltd.,PNK,None,0
WDASD,None,PNK,None,0
STCMB,Stonecutter Mills Corporation,PNK,None,0
CNU.TO,CNOOC Ltd.,TOR,Independent Oil & Gas,121
CRMWQ,CRUMBS BAKE SHOP WTS,PNK,None,0
PLSM.ME,Plasmeq Open Joint-Stock Company,MCX,None,0
BPMI,BPM Inc.,PNK,None,0
CFNL,Cardinal Financial Corp.,NMS,Regional - Southeast Banks,413
JPSWY,"The Japan Steel Works, Ltd.",PNK,None,0
BPMC,Blueprint Medicines Corporation,NMS,Biotechnology,515
CFNB,California First National Bancorp,NGM,Regional - Pacific Banks,416
BPMX,BioPharmX Corporation,OBB,Biotechnology,515
ALPMY,"Astellas Pharma, Inc.",PNK,None,0
JPSWF,"The Japan Steel Works, Ltd.",PNK,None,0
LIVN,LivaNova PLC,NMS,None,0
VTV.BE,TVN,BER,None,0
OBD.BE,OBDUCAT -B-,BER,Diversified Electronics,836
MXI.AX,MaxiTRANS Industries Limited,ASX,Trucks & Other Vehicles,331
5267@DB.KL,XIN HWA HOLDINGS BERHAD,KLS,None,0
ELXS,ELXSI Corporation,PNK,None,0
ABF.L,Associated British Foods plc,LSE,Food - Major Diversified,340
V6MS.SG,THERAMETRICS HLDG N,STU,None,0
CHRR.L,China Rerun Chemical Group Limited,LSE,Chemicals - Major Diversified,110
ZVB.BE,ZIGNAGO VETRO,BER,Packaging & Containers,325
JELCF,Johnson Electric Holdings Ltd.,PNK,None,0
IQE.NZ,Intueri Education Group Limited,NZE,Education & Training Services,766
TRIG.L,RENEW INF GR GBP,LSE,None,0
UBSBF,Unique Broadband Systems Inc.,PNK,None,0
0076.HK,South Sea Petroleum Holdings Ltd.,HKG,Oil & Gas Drilling & Exploration,123
WMPN,"William Penn Bancorp, Inc.",OBB,Regional - Northeast Banks,411
TME.MI,Telecom Italia Media SpA,MIL,None,0
AKPI.JK,Argha Karya Prima Industry Tbk.,JKT,None,0
MURSF,MURRAY & ROB HLDG OR,PNK,None,0
VIG.AX,Victor Group Holdings Limited,ASX,Education & Training Services,766
K21.BE,KRATON PERFORM,BER,Specialty Chemicals,113
OXLCO,Oxford Lane Capital Corp.,NMS,None,0
OXLCN,Oxford Lane Capital Corp.,NMS,None,0
EAUI,"EAU Technologies, Inc.",PNK,Pollution & Treatment Controls,623
CTXS,"Citrix Systems, Inc.",NMS,Business Software & Services,826
OXLCP,Oxford Lane Capital Corp.,NMS,None,0
MGIC,Magic Software Enterprises Ltd.,NMS,Application Software,821
NEAGI.BO,Neelamalai Agro Industries Ltd.,BSE,Farm Products,341
2109.TW,"Hwa Fong Rubber Ind. Co., Ltd.",TAI,Rubber & Plastics,322
KSK-BE.NS,KSK ENERGY VENTURE INR10,NSI,None,0
JPAK,"Jpak Group, Inc.",PNK,None,0
NCFFF,Northcliff Resources Ltd.,PNK,None,0
CSUWF,EnerCare Inc.,PNK,None,0
EDELWEISS.NS,Edelweiss Financial Services Limited,NSI,Investment Brokerage - National,420
TYBT,"Trinity Bank, N.A.",OBB,Regional - Southwest  Banks,415
DGS.L,Digital Globe Services Inc.,LSE,Internet Information Providers,851
NBPO.L,New Britain Palm Oil Limited,LSE,None,0
OXFORDIN.BO,Oxford Industries Ltd,BSE,Textile Industrial,628
02Y.BE,CHINA XD PLSTCS,BER,Rubber & Plastics,322
RIVE,Riverview Financial Corporation,PNK,None,0
TLPR.L,Tullett Prebon plc,LSE,Investment Brokerage - National,420
016580.KS,Whanin Pharmaceutical Co. Ltd.,KSC,None,0
TKOMY,Tokio Marine Holdings Inc.,PNK,None,0
HNI,HNI Corp.,NYQ,Business Equipment,313
HCACU,Hennessy Capital Acquisition Corp II,NCM,None,0
VAX.SG,DIADEXUS,STU,None,0
CICC,"China Internet Cafe Holdings Group, Inc.",PNK,None,0
HNP,"Huaneng Power International, Inc.",NYQ,Electric Utilities,911
ZIONW,Zions Bancorporation,NMS,None,0
HNR,Harvest Natural Resources Inc.,NYQ,Independent Oil & Gas,121
HNT,"Health Net, Inc.",NYQ,Health Care Plans,522
HNW,Pioneer Diversified High Income Trust,ASE,Asset Management,422
RIVR,River Valley Bancorp,NCM,Money Center Banks,410
ZTHO,"Z-Trim Holdings, Inc.",PNK,Farm Products,341
OU7M.F,MEXIGOLD,FRA,None,0
VC8.F,VANCAMEL,FRA,Textile - Apparel Clothing,320
ZIONZ,Zions Bancorporation,NMS,None,0
JOSTS.BO,Josts Engineering Company Ltd,BSE,Diversified Machinery,622
WLVH,Wolverine Holding Corp.,PNK,None,0
B-U.TO,POWERSHARES LAD US 0 TO 5 YR CO,TOR,None,0
GIL.TO,Gildan Activewear Inc.,TOR,Textile - Apparel Clothing,320
ASRVP,AmeriServ Financial Inc.,NGM,None,0
NS8U.SI,Hutchison Port Holdings Trust,SES,Air Delivery & Freight Services,773
D7S.DE,Matica Technologies AG,GER,Technical & System Software,822
HNCKF,Hard Creek Nickel Corp.,PNK,None,0
NIHDQ,NII Holdings Inc.,PNK,None,0
TDI,Telephone & Data Systems Inc.,NYQ,None,0
TDC,Teradata Corporation,NYQ,Data Storage Devices,813
0801.HK,Golden Meditech Holdings Limited,HKG,Medical Instruments & Supplies,520
TDA,Telephone & Data Systems Inc.,NYQ,None,0
TDG,TransDigm Group Incorporated,NYQ,Aerospace/Defense Products & Services,611
TDF,"Templeton Dragon Fund, Inc.",NYQ,Closed-End Fund - Foreign,427
TDE,Telephone & Data Systems Inc.,NYQ,None,0
TDY,Teledyne Technologies Inc.,NYQ,Scientific & Technical Instruments,837
TDS,Telephone & Data Systems Inc.,NYQ,Wireless Communications,840
QTE.PA,Quotium Technologies SA,PAR,Technical & System Software,822
TDW,Tidewater Inc.,NYQ,Oil & Gas Equipment & Services,124
RODI,Barclays Return on Disability ETN,PCX,None,0
A02.F,ADWAYS,FRA,None,0
0162@BN.KL,IDEAL JACOBS (M) CORPORATION B,KLS,None,0
PWEB,"Pacific WebWorks, Inc.",OBB,Application Software,821
CPG.TO,Crescent Point Energy Corp.,TOR,Independent Oil & Gas,121
IHRMF,iShares Public Limited Company - iShares MSCI Japan UCITS ETF (Dist),PNK,None,0
EUT.L,The European Investment Trust plc,LSE,Asset Management,422
MULT,AdvisorShares Snrse Glbl Multi-Strat ETF,NGM,None,0
DNA.L,DORIC NIM AIR ONE,LSE,None,0
O03.SG,OANDO EGY RES,STU,None,0
PCE1.BE,PRICELINE GROUP,BER,"Recreational Goods, Other",317
FB.MX,FACEBOOK-A,MEX,None,0
MAERSK-B.CO,A.P. Møller - Mærsk A/S,CPH,None,0
EBF,Ennis Inc.,NYQ,Office Supplies,327
FRTV5L.SA,FRUTAVI     PNA*    MB,SAO,None,0
EBR,Centrais Elétricas Brasileiras S.A. - Eletrobras,NYQ,Electric Utilities,911
EBS,"Emergent BioSolutions, Inc.",NYQ,Biotechnology,515
OB7.SG,OBTALA RES,STU,None,0
MLP.DE,MLP AG,GER,Asset Management,422
R7H1.BE,RED PROP -NPV-,BER,None,0
XSI.BE,SANYO CHEMICAL IND,BER,Specialty Chemicals,113
24495317.SG,IRISH CONTL GRP UTS,STU,None,0
OY3.SG,OCEAN YIELD,STU,None,0
RAREF,Canada Rare Earth Corporation,PNK,Biotechnology,515
XBOR,"Cross Border Resources, Inc.",PNK,Oil & Gas Drilling & Exploration,123
0082-OL.HK,V1 GROUP,HKG,None,0
OPTS.L,Optos plc,LSE,None,0
HHPD.L,"Hon Hai Precision Industry Co., Ltd.",IOB,Diversified Electronics,836
HSHY34F.SA,The Hershey Company,SAO,Confectioners,345
TY1311.CR,TOYOTA 3-I11,CCS,None,0
0274.HK,C BILLION RES,HKG,None,0
AJ81.F,AGENUS,FRA,None,0
UIBGF,UIB Group Limited,PNK,None,0
RPRXZ,Repros Therapeutics Inc.,NCM,None,0
04478P.TW,YUANTA SECURITIES CO.LTD P/W 28,TAI,None,0
RPRXW,Repros Therapeutics Inc.,NCM,None,0
CBYAA,Community Bank of the Bay,PNK,None,0
ORSCY,None,PNK,None,0
MLDRV.PA,Drone Volt S.A.,PAR,None,0
ZIL2.F,ELRINGKLINGER N,FRA,Auto Parts,333
VIC.AX,Victory Mines Limited,ASX,Industrial Metals & Minerals,133
NK.PA,Imerys SA,PAR,General Building Materials,634
OZL.AX,OZ Minerals Limited,ASX,Copper,131
PLORF,GALILEO PETROLEUM,PNK,None,0
NXGIF,Nexus Group International Inc.,PNK,None,0
GFRSF,"Grupo Financiero Santander Mexico, S.A.B. de C.V.",PNK,None,0
KMAZ.ME,KAMAZ Publicly Traded Company,MCX,None,0
FTSV.L,Foresight Solar VCT Ord,LSE,None,0
QXT.L,Quixant Plc,LSE,Computer Based Systems,812
YGRO.A,None,ASE,None,0
XGH.F,ENN ENERGY HLD,FRA,None,0
HINDALCO.BO,Hindalco Industries Ltd.,BSE,Aluminum,132
IBCP,Independent Bank Corporation,NMS,Regional - Midwest Banks,414
SSA.IL,JS SIS SP GDR REG-S,IOB,None,0
E94.SI,Lizhong Wheel Group Ltd.,SES,Auto Parts,333
FSMK,"1ST SUMMIT BANCORP of Johnstown, Inc.",PNK,None,0
AFHP.L,AFH Financial Group Plc,LSE,Asset Management,422
GMS.L,Gulf Marine Services PLC,LSE,Oil & Gas Equipment & Services,124
YGRO,RBC Yorkville MLP Dis GrLdrs Liqd PR ETN,PCX,None,0
CYN-PC,City National Corporation Depos,NYQ,None,0
MTPVY,METROPOLE TV,PNK,None,0
CYN-PD,City National Corporation Depos,NYQ,None,0
WAF.V,"West African Resources, Ltd.",VAN,Gold,134
NGF.AX,Norton Gold Fields Limited,ASX,None,0
DWNI.DE,Deutsche Wohnen AG,GER,Real Estate Development,449
GMUI,"Gold Mining USA, Inc.",PNK,None,0
GGAC,Garnero Group Acquisition Company,NCM,Conglomerates,210
BRM.V,BIOREM Inc.,VAN,Pollution & Treatment Controls,623
HITECHGEA.NS,Hi-Tech Gears Limited,NSI,Auto Parts,333
QS5.MU,STRAUMANN HLDG N,MUN,Medical Instruments & Supplies,520
DJAN.L,Daejan Holdings plc,LSE,Property Management,448
GGAL,Grupo Financiero Galicia S.A.,NCM,Foreign Regional Banks,418
WINDMACHI.NS,None,NSI,None,0
ATLN.VX,ACTELION N ,VTX,None,0
AKE.PA,Arkema S.A.,PAR,Chemicals - Major Diversified,110
119610.KQ,Interojo Inc.,KOE,None,0
719546.TWO,YUANTA SECURITIES C/W 29/12/15(,TWO,None,0
FVR.V,"Finavera Solar Energy, Inc.",VAN,Diversified Utilities,913
1478.HK,Q Technology (Group) Company Limited,HKG,None,0
USIM3.SA,Usinas Siderúrgicas de Minas Gerais S.A.,SAO,None,0
ICNOF,Icon Energy Limited,PNK,None,0
TGS.AX,Tiger Resources Ltd.,ASX,Copper,131
MGSGF,Musgrove Minerals Corp.,PNK,None,0
BKS3.SG,BBS KRAFTFAHRZG VZ,STU,Auto Parts,333
LLPG.L,6.3673 LLOYDS NCP,LSE,None,0
HINDOILEXP.BO,Hindustan Oil Exploration Company Limited,BSE,Independent Oil & Gas,121
STRP,Straight Path Communications Inc.,ASE,Diversified Communication Services,846
EW2.BE,EAST-WEST BANCORP,BER,Money Center Banks,410
BNPQY,BNP Paribas SA,PNK,None,0
DVNHF,Frontier Services Group Limited,PNK,None,0
EORBF,Orbite Technologies Inc.,PNK,None,0
SERV,"ServiceMaster Global Holdings, Inc.",NYQ,Business Services,760
E,Eni SpA,NYQ,Major Integrated Oil & Gas,120
VBBK,Vibra Bank,PNK,None,0
SCRYY,SCOR SE,PNK,None,0
LTNC,"Labor Smart, Inc.",PNK,Staffing & Outsourcing Services,764
GWTR,"Global Water Technologies, Inc.",PNK,None,0
0572-OL.HK,CH FOR YOU GP,HKG,None,0
UCA1.SG,UCA,STU,None,0
KMPPF,Killam Properties Inc.,PNK,None,0
WHLRP,"Wheeler Real Estate Investment Trust, Inc.",NCM,None,0
YESBANK.BO,Yes Bank Limited,BSE,Money Center Banks,410
CASO.ST,Cassandra Oil AB (publ),STO,None,0
VIINT.CO,Victor International AS,CPH,None,0
SPM.MI,Saipem SpA,MIL,Oil & Gas Equipment & Services,124
CCOM,"CCOM Group, Inc.",PNK,General Building Materials,634
LXS.DE,Lanxess AG,GER,Specialty Chemicals,113
CCOI,"Cogent Communications Holdings, Inc.",NMS,Diversified Communication Services,846
QISI.QA,Qatar Islamic Insurance Company Q.S.C,DOH,None,0
03045X.TW,YUANTA SECURITIES C/W 08/12/15(,TAI,None,0
BVB.DE,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,GER,"Recreational Goods, Other",317
LCY.MU,JUBII EUROPE,MUN,Internet Information Providers,851
BRHM,Brenham Oil & Gas Corp.,PNK,Independent Oil & Gas,121
104110.KS,Shinsung ENG Co. Ltd.,KSC,None,0
H4M.F,HITACHI ZOSEN FUKUI,FRA,None,0
WHLRF,WHL ENERGY LTD,PNK,None,0
ZZ8.F,CHINA HUIYUAN JUICE,FRA,Food - Major Diversified,340
TAPP,TAP RESOURCES INC,PNK,None,0
FLMNF,FIELMANN AG,PNK,None,0
TAPR,Barclays Inverse US Treasury Aggt ETN,NGM,None,0
22Z.F,ZEALAND PHARMA,FRA,None,0
PEY.TO,Peyto Exploration & Development Corp,TOR,Independent Oil & Gas,121
OY3.F,OCEAN YIELD,FRA,None,0
QS8.F,QC HOLDINGS,FRA,None,0
0335.HK,Upbest Group Limited,HKG,Asset Management,422
WLC.TO,Western Lithium USA Corporation,TOR,None,0
TAPM,"Tapinator, Inc.",PNK,None,0
JDORGOCHEM.BO,JD ORGOCHEM LTD.,BSE,None,0
HMTF,"Home Treasure Finders, Inc.",OBB,Property Management,448
BEX.V,Benton Resources Inc.,VAN,Industrial Metals & Minerals,133
8220.HK,Bingo Group Holdings Limited,HKG,Entertainment - Diversified,722
AAL.MX,AMERICAN AIRLINES,MEX,None,0
NUF.AX,Nufarm Limited,ASX,Agricultural Chemicals,112
HMTV,"Hemisphere Media Group, Inc.",NGM,CATV Systems,725
SUHJY,Sun Hung Kai Properties Limited,PNK,None,0
SVW.F,SERVICEMAST GLB HLD,FRA,None,0
WPP.F,WORLDPAY GROUP,FRA,None,0
NETEW,NET ELEMENT WTS,PNK,None,0
2VO.F,VALMET CORPORAT,FRA,None,0
YB2N.F,CN VANGUARD,FRA,None,0
SHTRF,SUNLIGHT REAL ESTATE,PNK,None,0
MD,"MEDNAX, Inc.",NYQ,Specialized Health Services,528
MG,"Mistras Group, Inc.",NYQ,Security & Protection Services,765
UBQU,Ubiquitech Software Corporation,PNK,None,0
MA,MasterCard Incorporated,NYQ,Credit Services,424
ALOG,Analogic Corporation,NMS,Medical Laboratories & Research,525
MC,Moelis & Company,NYQ,Asset Management,422
MB,"MINDBODY, Inc.",NGM,Application Software,821
MO,Altria Group Inc.,NYQ,Cigarettes,350
MN,"Manning & Napier, Inc.",NYQ,Asset Management,422
MU,"Micron Technology, Inc.",NMS,Semiconductor- Memory Chips,831
